,,,電子カタログ作成用リスト（IT）,,,,,,,,,
五十音,NO,会社名,相談受付日,相談者/連絡先,所在地,URL,相談内容,応対者,,,,
あいえすびー,i1,㈱アイ・エス・ビー,H24.8.16,岩佐　執行役員,仙台市青葉区,,在仙企業への業務発注について,木村BDD,,,,
あいそ,i2,㈱アイソリューションズ,H24.9.12,大友　代表取締役社長,仙台市若林区,,ネットショップパッケージ(中大規模向け)の拡販、スマートフォン開発の受託等,木村BDD,,,,
あさひしすてむ,i3,朝日システム㈱,H24.9.11,広域ソリューション部　日沢英彦様,福島県福島市,,地理情報システム(webGISパッケージ等)の拡販等,木村BDD,,,,
あすくし,i4,(有)アスクシステムズ,H24.8.16,星　代表取締役,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
あんでっくす,i5,㈱アンデックス,H24.9.5,三嶋　代表取締役社長,仙台市青葉区,,"自社開発スマートフォンアプリ""マプコミ""のノウハウを活用した事業展開",木村BDD,,,,
いーとす,i6,イートス㈱,H24.8.17,増子　代表取締役社長,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
えすてぃわー,i7,(有)ST-WORKS,H24.9.13,代表取締役　水沼正樹様,仙台市青葉区,,スマートフォンアプリ『ソラレジ』を起点とした開発受託等,木村BDD,,,,
かんたんあるご,i8,㈱かんたむアルゴリズム　研究所,H24.8.16,斎藤　代表取締役社長,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
きゃろるし,i9,キャロルシステム仙台㈱,H24.6.6,斉藤　取締役,仙台市宮城野区,,IT案件(スマートフォン等)の紹介,"八木センター長,木村BDD",,,,
さいばーそりゅ,i10,㈱サイバー・ソリューションズ,H24.8.21,遠藤　マネージャー,仙台市泉区,,IT分野の販路開拓支援について,木村BDD,,,,
でぃーえむ,i11,㈱ディー・エム・ピー,H24.8.9,五十嵐　取締役,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
てくのうぃ,i12,テクノウイング㈱,H24.8.16,横山　代表取締役　,仙台市泉区,,IT分野の販路開拓支援について,木村BDD,,,,
てくのさぽー,i13,㈱テクノサポートカンパニー,H24.9.13,大森　代表取締役社長　太田　取締役　,仙台市宮城野区,,ペットショップ向けwebサービスの拡販、スマートフォン開発の受託等,木村BDD,,,,
でじたる,i14,㈱デジタルトラスト,H24.8.8,後藤　代表取締役社長,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
でじたるめでぃあ,i15,㈱デジタルメディア研究所,H24.8.17,清野　所長,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
てすぷろ,i16,㈱テスプロ,H24.8.22,松長　Web事業部マネージャー,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
とうほくあいてぃ,i17,東北IT産業振興機構,H24.7.9,前口　氏,仙台市,,食事サポートシステムの事業化について,"八木センター長,木村BDD",,,,
とうほくしすてむず,i18,㈱東北システムズ・サポート,H24.8.13,佐々木　取締役,仙台市宮城野区,,IT分野の販路開拓支援について,木村BDD,,,,
とうほくでんしけいさ,i19,㈱東北電子計算センター,H24.8.9,千葉　理事,仙台市宮城野区,,IT分野の販路開拓支援について,"木村BDD,橋本BDD",,,,
とらいぽっど,i20,トライポッドワークス㈱,H24.8.8,菊池　代表取締役常務,仙台市青葉区,,IT分野の販路開拓支援について,"八木センター長,木村BDD、橋本BDD",,,,
ねっとれんど,i21,㈱ネットレンド,H24.8.22,菊田　副社長,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
びーふる,i22,㈱ビーフル,H24.8.22,千葉　特別開拓室室長,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
ひゃくせんれんま,i23,㈱百戦錬磨,H24.9.14,社長　大森鉄男様　取締役　太田雅典様,仙台市青葉区,,Ruby On Railsで作成中の自社サービスの拡充を手伝ってくれる受託開発企業の紹介依頼,木村BDD,,,,
ふぉーないんしす,i24,㈱フォーナインシステム,H24.8.14,平野　代表取締役社長,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
まぐねっとでざいん,i25,㈱マグネットデザイン,H24.8.24,大上　代表取締役社長,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
らねっくす,i26,㈱ラネックス,H24.8.17,丸林　取締役,仙台市青葉区,,IT分野の販路開拓支援について,木村BDD,,,,
